,idDataset,nombreConjuntoDatos,fechaPublicacion,fechaActualizacion,inicioDato,finDato,fechaDescarga,urlConexionAPI,urlConjuntoDatos,tipoPublicacion
273,965765,Costo unitario SIMEM y SICEP,2024-10-07T17:22:20.84,2026-01-07T15:47:54.423,2023-01-01T00:00:00,2025-01-01T00:00:00,2025-03-13T19:55:03.637,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=965765,https://www.simem.co/datadetail/96576596-86ee-4eb0-9c8c-b30e6c19c72f,Público
274,ea754c,Datos soporte del proceso de Demandas por versión y diaria,2023-09-28T20:03:27.04,2026-06-11T21:26:23.403,2013-01-01T00:00:00,2025-09-30T00:00:00,2024-11-24T12:04:04.07,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=ea754c,https://www.simem.co/datadetail/ea754c7d-dde4-46b3-8fa1-b38ad807c89f,Público
275,BD26DC,Nivel de embalse declarado por el agente diariamente,2023-09-28T22:04:50.36,2026-07-01T04:36:07.847,2021-01-01T00:00:00,2026-06-28T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=BD26DC,https://www.simem.co/datadetail/bd26dc79-5f30-4928-bf53-b3a024fce938,Público
276,B53464,Reconciliación negativa para planta que realiza AGC,2023-09-28T20:27:03.407,2026-07-01T04:37:31.463,2021-01-01T00:00:00,2026-06-28T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=B53464,https://www.simem.co/datadetail/b53464bc-6e93-43f9-8a86-b3c6ad89262d,Público
277,51407A,Informe semestral de planeamiento operativo eléctrico de largo plazo (IPOELP) --Deprecated--,2023-09-30T19:35:39.087,2026-04-10T19:00:55.073,2022-01-01T00:00:00,2025-07-01T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=51407A,https://www.simem.co/datadetail/51407a2b-45bc-446c-95d8-b49842a4758c,Público
278,5f8082,Precios promedios mensuales de contratos con UNR para el total del SIN,2023-09-29T18:04:28.427,2026-06-18T11:03:19.71,2023-01-01T00:00:00,2026-05-01T00:00:00,2025-04-10T14:19:15.9,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=5f8082,https://www.simem.co/datadetail/5f808230-f67f-447c-9535-b4bbfc08f2b3,Público
279,0E4A36,Promedio aritmético anual acumulado de la representatividad de la energía transada,2023-09-29T13:32:44.803,2026-06-22T23:16:07.63,2023-08-05T00:00:00,2026-05-31T00:00:00,2024-05-09T13:49:14.9,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=0E4A36,https://www.simem.co/datadetail/0e4a3661-c55a-4b29-874b-b54a1bca242a,Público
280,da2c83,Estadísticas de precios por comercializador de los contratos adjudicados en subastas del Ministerio (MME),2023-09-18T17:17:33.267,2026-06-24T07:32:02.1,2022-01-01T00:00:00,2026-05-01T00:00:00,2024-07-25T14:56:10.027,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=da2c83,https://www.simem.co/datadetail/da2c8370-f180-49be-8116-b696474988cd,Público
281,0810d0,Cumplimiento de reporte de contratos entre agentes y usuarios del mercado no regulado,2026-06-26T16:05:42.117,2026-06-26T16:05:48.71,2026-06-26T00:00:00,2026-06-26T00:00:00,,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=0810d0,https://www.simem.co/datadetail/0810d09c-1a11-4b7e-8b25-b702e0bcda55,Reservado
282,9e491b,"Datos soporte del proceso de Contratos por Código sic agente, Recurso, versión y horaria",2023-09-29T01:26:22.153,2026-06-11T19:55:39.823,2013-01-01T00:00:00,2025-12-12T00:00:00,2025-04-25T15:11:36.15,https://www.simem.coPublicData?startDate=2026-07-01&endDate=2026-07-01&datasetId=9e491b,https://www.simem.co/datadetail/9e491bb3-a304-4ee7-a052-b7451b461e41,Público
